,기간,경유,고급휘발유,실내등유,휘발유,전기
0,2020년 01월,1483.1592570281118,835.0341767068275,503.76881526104427,1645.0690160642582,15353.0
1,2020년 02월,1455.9256854838707,831.7420766129029,499.85711693548376,1621.3187903225792,16438.0
2,2020년 03월,1382.0104216867471,811.3588353413654,497.69905622489966,1555.867148594377,17172.0
3,2020년 04월,1235.8988977955917,760.7444689378755,465.92887775551094,1416.51983967936,17622.0
4,2020년 05월,1168.6274096385553,733.5803012048193,429.3720883534135,1349.2532730923701,18098.0
5,2020년 06월,1229.4328514851477,758.3929306930693,411.60687128712885,1417.9952475247528,19411.0
6,2020년 07월,1261.7347261663283,764.7427586206893,399.0566734279919,1453.2449290060865,20003.0
7,2020년 08월,1265.5836032388659,778.0671659919027,417.50344129554657,1456.7517004048586,20997.0
8,2020년 09월,1253.1289046653133,777.5728600405682,420.84582150101426,1445.3655983772815,22118.0
9,2020년 10월,1231.554073319755,769.5194501018331,436.91374745417534,1425.1154582484724,22676.0
10,2020년 11월,1215.7223828920578,774.9671079429733,428.4212423625255,1409.6248676171092,23052.0
11,2020년 12월,1255.5270901639328,779.3392418032785,439.9866188524592,1450.1513524590164,23393.0
